Show_ID,Titles,Categories,Date_Added,Ratings,Directors
s103,Countdown: Inspiration4 Mission to Space,TV Show,2021-09-06,TV-14,Jason Hehir
s104,Shadow Parties,Movie,2021-09-06,TV-MA,Yemi Amodu
s106,Angamaly Diaries,Movie,2021-09-05,TV-14,Lijo Jose Pellissery
s108,A Champion Heart,Movie,2021-09-04,G,David de Vos
s111,Money Heist: From Tokyo to Berlin,TV Show,2021-09-03,TV-MA,"Luis Alfaro, Javier Gómez Santander"
s113,Worth,Movie,2021-09-03,PG-13,Sara Colangelo
s114,Afterlife of the Party,Movie,2021-09-02,TV-PG,Stephen Herek
s115,Anjaam,Movie,2021-09-02,TV-14,Rahul Rawail
s116,Bright Star,Movie,2021-09-02,PG,Jane Campion
s117,Dhanak,Movie,2021-09-02,TV-PG,Nagesh Kukunoor
s118,Final Account,Movie,2021-09-02,PG-13,Luke Holland
s119,Gurgaon,Movie,2021-09-02,TV-14,Shanker Raman
s120,Here and There,Movie,2021-09-02,TV-MA,JP Habac
s123,In the Cut,Movie,2021-09-02,R,Jane Campion
s127,Shikara,Movie,2021-09-02,TV-14,Vidhu Vinod Chopra
s128,A Cinderella Story,Movie,2021-09-01,PG,Mark Rosman
s129,Agatha Christie's Crooked House,Movie,2021-09-01,PG-13,Gilles Paquet-Brenner
s130,An Unfinished Life,Movie,2021-09-01,PG-13,Lasse Hallström
s131,Barbie Big City Big Dreams,Movie,2021-09-01,TV-Y,Scott Pleydell-Pearce
s132,Blade Runner: The Final Cut,Movie,2021-09-01,R,Ridley Scott
s134,Chappie,Movie,2021-09-01,R,Neill Blomkamp
s135,Clear and Present Danger,Movie,2021-09-01,PG-13,Phillip Noyce
s136,Cliffhanger,Movie,2021-09-01,R,Renny Harlin
s137,Cold Mountain,Movie,2021-09-01,R,Anthony Minghella
s138,Crocodile Dundee in Los Angeles,Movie,2021-09-01,PG,Simon Wincer
s139,Dear John,Movie,2021-09-01,PG-13,Lasse Hallström
s140,Do the Right Thing,Movie,2021-09-01,R,Spike Lee
s141,"El patrón, radiografía de un crimen",Movie,2021-09-01,TV-MA,Sebastián Schindel
s142,Extraction,Movie,2021-09-01,R,Steven C. Miller
